City MPG,Highway MPG
21,27
21,27
19,26
24,30
18,22
19,25
19,25
19,25
17,20
16,22
23,29
23,29
21,28
21,28
20,25
16,22
16,22
15,20
47,53
38,43
38,43
37,41
31,38
24,30
31,38
31,38
31,38
24,30
24,30
19,24
49,54
31,38
38,42
30,34
30,34
30,34
30,34
27,33
27,33
27,33
27,33
24,28
25,31
24,29
38,43
38,43
24,29
15,19
15,19
13,17
30,31
31,38
31,38
31,38
31,38
17,23
17,23
17,23
16,23
26,32
26,32
26,32
26,32
36,42
26,32
19,27
31,39
22,25
22,25
22,25
22,25
16,18
16,18
14,16
14,16
19,24
37,41
31,38
31,38
24,30
23,30
25,32
19,24
19,24
19,24
25,32
25,32
23,30
23,30
31,37
45,50
31,37
31,37
31,37
31,37
31,37
31,37
31,37
31,37
27,34
27,34
17,22
17,22
19,25
19,25
17,23
19,25
19,24
28,33
19,24
25,25
19,24
28,33
19,24
25,25
19,24
28,33
18,24
37,41
24,30
31,38
31,38
31,38
24,30
19,24
19,27
17,25
17,25
17,25
17,28
23,31
23,31
21,28
21,28
21,28
21,28
19,26
19,26
31,36
26,31
26,31
32,37
28,33
26,32
24,25
24,29
28,32
25,31
23,29
23,23
35,39
31,38
31,38
31,37
27,32
27,32
30,37
30,37
34,36
38,47
38,47
28,34
28,34
29,34
29,34
26,29
26,29
24,30
24,30
24,30
24,30
24,30
24,30
29,34
30,33
27,32
27,32
27,32
20,24
19,24
20,24
19,24
37,46
27,34
37,46
27,34
27,34
37,42
26,32
24,29
24,29
19,24
33,38
25,31
23,28
23,28
24,28
24,28
17,22
17,22
23,28
19,25
18,23
26,27
19,25